,word,pos,dependency_label,id,parent,EOS,kept
56,out,RP,compound:prt,20,18,0,0
57,<EOS>,.,punct,21,8,1,1
58,once,IN,mark,0,6,0,0
59,the,DT,det,1,3,0,0
60,order,NN,compound,2,3,0,0
61,confirmation,NN,nsubj:pass,3,6,0,0
62,has,VBZ,aux,4,6,0,0
63,been,VBN,aux:pass,5,6,0,0
64,created,VBN,advcl,6,15,0,0
65,and,CC,cc,7,8,0,0
66,sent,VBN,conj,8,6,0,0
67,the,DT,det,10,13,0,0
68,ordered,VBN,amod,11,13,0,0
69,chocolate,NN,compound,12,13,0,0
70,bars,NNS,nsubj:pass,13,15,0,0
71,are,VBP,aux:pass,14,15,0,0
72,removed,VBN,root,15,-1,0,0
73,from,IN,case,16,17,0,0
74,storage,NN,obl,17,15,0,0
75,<EOS>,.,punct,18,15,1,1
76,after,IN,case,0,1,0,0
77,removal,NN,obl,1,10,0,0
78,from,IN,case,2,3,0,0
79,storage,NN,nmod,3,1,0,0
80,a,DT,det,5,8,0,0
81,final,JJ,amod,6,8,0,0
82,quality,JJ,amod,7,8,0,0
83,control,NN,nsubj:pass,8,10,0,0
84,is,VBZ,aux:pass,9,10,0,0
85,carried,VBN,root,10,-1,0,0
86,out,RP,compound:prt,11,10,0,0
87,<EOS>,.,punct,12,10,1,1
88,if,IN,mark,0,2,0,0
89,we,PRP,nsubj,1,2,0,0
90,detect,VBP,advcl,2,16,0,0
91,any,DT,det,3,4,0,0
92,defects,NNS,obj,4,2,0,0
93,in,IN,case,5,7,0,0
94,the,DT,det,6,7,0,0
95,packaging,NN,nmod,7,4,0,0
96,or,CC,cc,8,10,0,0
97,the,DT,det,9,10,0,0
98,chocolate,NN,conj,10,7,0,0
99,the,DT,det,12,14,0,0
100,inferior,JJ,amod,13,14,0,0
101,bars,NNS,nsubj:pass,14,16,0,0
102,are,VBP,aux:pass,15,16,0,0
103,disposed,VBN,root,16,-1,0,0
104,of,IN,obl,17,16,0,0
105,and,CC,cc,18,27,0,0
106,then,RB,advmod,19,27,0,0
107,the,DT,det,20,22,0,0
108,missing,JJ,amod,21,22,0,0
109,quantity,NN,nsubj:pass,22,27,0,0
110,of,IN,case,23,25,0,0
111,chocolate,NN,compound,24,25,0,0
112,bars,NNS,nmod,25,22,0,0
113,is,VBZ,aux:pass,26,27,0,0
114,removed,VBN,conj,27,16,0,0
115,again,RB,advmod,28,27,0,0
116,<EOS>,.,punct,29,16,1,1
117,if,IN,mark,0,4,0,0
118,the,DT,det,1,2,0,0
119,quality,NN,nsubj,2,4,0,0
120,is,VBZ,cop,3,4,0,0
121,perfect,JJ,advcl,4,10,0,0
122,the,DT,det,6,8,0,0
123,chocolate,NN,compound,7,8,0,0
124,bars,NNS,nsubj:pass,8,10,0,0
125,are,VBP,aux:pass,9,10,0,0
126,packed,VBN,root,10,-1,0,0
127,in,IN,case,11,12,0,0
128,cartons,NNS,obl,12,10,0,0
129,<EOS>,.,punct,13,10,1,1
130,after,IN,mark,0,5,0,0
131,the,DT,det,1,2,0,0
132,goods,NNS,nsubj:pass,2,5,0,0
133,have,VBP,aux,3,5,0,0
134,been,VBN,aux:pass,4,5,0,0
135,packed,VBN,advcl,5,11,0,0
136,the,DT,det,7,10,0,0
137,merchandise,JJ,amod,8,10,0,0
138,management,NN,compound,9,10,0,0
139,system,NN,nsubj,10,11,0,0
140,checks,VBZ,root,11,-1,0,0
141,whether,IN,mark,12,17,0,0
142,the,DT,det,13,14,0,0
143,customer,NN,nsubj,14,17,0,0
144,is,VBZ,cop,15,17,0,0
145,the,DT,det,16,17,0,0
146,person,NN,ccomp,17,11,0,0
147,collecting,VBG,acl,18,17,0,0
148,the,DT,det,19,20,0,0
149,goods,NNS,obj,20,18,0,0
150,himself,PRP,obl:npmod,21,18,0,0
151,<EOS>,.,punct,22,11,1,1
152,if,IN,mark,0,1,0,0
153,so,RB,advcl,1,5,0,0
154,we,PRP,nsubj,3,5,0,0
155,will,MD,aux,4,5,0,0
156,provide,VB,root,5,-1,0,0
157,him,PRP,obj,6,5,0,0
158,with,IN,case,7,11,0,0
159,either,CC,cc:preconj,8,11,0,0
160,a,DT,det,9,11,0,0
161,lattice,NN,compound,10,11,0,0
162,box,NN,obl,11,5,0,0
163,or,CC,cc,12,15,0,0
164,a,DT,det,13,15,0,0
165,wooden,JJ,amod,14,15,0,0
166,pallet,NN,conj,15,11,0,0
167,<EOS>,.,punct,16,5,1,1
168,it,PRP,nsubj:pass,0,3,0,0
169,should,MD,aux,1,3,0,0
170,be,VB,aux:pass,2,3,0,0
171,noted,VBN,root,3,-1,0,0
172,that,IN,mark,4,9,0,0
173,wooden,JJ,amod,5,6,0,0
174,pallets,NNS,nsubj:pass,6,9,0,0
175,are,VBP,aux:pass,7,9,0,0
176,only,RB,advmod,8,9,0,0
177,awarded,VBN,ccomp,9,3,0,0
178,to,IN,case,10,12,0,0
179,regular,JJ,amod,11,12,0,0
180,customers,NNS,obl,12,9,0,0
181,<EOS>,.,punct,13,3,1,1
182,if,IN,mark,0,11,0,0
183,on,IN,case,2,5,0,0
184,the,DT,det,3,5,0,0
185,other,JJ,amod,4,5,0,0
186,hand,NN,obl,5,11,0,0
187,the,DT,det,7,8,0,0
188,customer,NN,nsubj,8,11,0,0
189,does,VBZ,aux,9,11,0,0
190,not,RB,advmod,10,11,0,0
191,collect,VB,advcl,11,20,0,0
192,the,DT,det,12,13,0,0
193,pallets,NNS,obj,13,11,0,0
194,himself,PRP,nmod:npmod,14,13,0,0
195,the,DT,det,16,17,0,0
196,cartons,NNS,nsubj:pass,17,20,0,0
197,are,VBP,aux:pass,18,20,0,0
198,always,RB,advmod,19,20,0,0
199,provided,VBN,root,20,-1,0,0
200,in,IN,case,21,24,0,0
201,a,DT,det,22,24,0,0
202,lattice,NN,compound,23,24,0,0
203,box,NN,obl,24,20,0,0
204,<EOS>,.,punct,25,20,1,1
205,the,DT,det,0,1,0,0
206,transport,NN,nsubj:pass,1,4,0,0
207,is,VBZ,aux:pass,2,4,0,0
208,then,RB,advmod,3,4,0,0
209,arranged,VBN,root,4,-1,0,0
210,in,IN,case,5,9,0,0
211,the,DT,det,6,9,0,0
212,merchandise,JJ,amod,7,9,0,0
213,management,NN,compound,8,9,0,0
214,system,NN,obl,9,4,0,0
215,<EOS>,.,punct,10,4,1,1
216,the,DT,det,0,1,0,0
217,goods,NNS,nsubj:pass,1,4,0,0
218,are,VBP,aux:pass,2,4,0,0
219,then,RB,advmod,3,4,0,0
220,loaded,VBN,root,4,-1,0,0
221,and,CC,cc,5,6,0,0
222,transported,VBN,conj,6,4,0,0
223,to,IN,case,7,9,0,0
224,the,DT,det,8,9,0,0
225,customer,NN,obl,9,6,0,0
226,or,CC,cc,10,11,0,0
227,taken,VBD,conj,11,4,0,0
228,away,RB,advmod,12,11,0,0
229,by,IN,case,13,15,0,0
230,the,DT,det,14,15,0,0
231,customer,NN,obl,15,11,0,0
232,<EOS>,.,punct,16,4,1,1
233,the,DT,det,0,2,0,0
234,last,JJ,amod,1,2,0,0
235,step,NN,nsubj,2,5,0,0
236,is,VBZ,cop,3,5,0,0
237,the,DT,det,4,5,0,0
238,booking,NN,root,5,-1,0,0
239,in,IN,case,6,10,0,0
240,our,PRP$,nmod:poss,7,10,0,0
241,merchandise,JJ,amod,8,10,0,0
242,management,NN,compound,9,10,0,0
243,system,NN,nmod,10,5,0,0
244,<EOS>,.,punct,11,5,1,1
